start_char	end_char	sentence	entity_1	entity_2	answer
184	197	Then, in October, Colonel North offered a suggestion to Vice Adm. John M. Poindexter, then the deputy national security adviser, for capturing the hijackers of the Italian cruise ship Achille Lauro.	Achille Lauro	MS Achille Lauro	1
105	124	"Larry Smith, the football coach at the University of Arizona, said he was seeking to become the coach at Southern California and that he had met with officials from that school to discuss the job."""	USC Trojans football	Southern California	0
0	7	The Met has its own problems of intense, deadening conservatism in its repertory, production styles and casting, but that is a subject often lamented in these pages.	Metropolitan Opera	Metropolitan Museum of Art	0
38	46	\* In May, on a date not released, in Grinnell, Iowa, for the commencement speech at Grinnell College.	Grinnell, Iowa	Grinnell College	0
33	54	He talked about a failure by the Reagan Administration and by Washington generally to recognize that economic problems-unemployment, the Federal deficit, the imbalance in trade, third-world debt - are interconnected and require a broad, unified solution.	Ronald Reagan	Presidency of Ronald Reagan	1
113	125	AFTER two years as the Philadelphia 76ers' general manager, Jack Ramsay, who had coached St. Joseph's College in Philadelphia for 11 seasons, decided to take a crack at coaching in the National Basketball Association.	Philadelphia 76ers	Philadelphia	1
195	211	"Last week, for example, word went around the building that Don Hewitt, the executive producer of"" 60 Minutes,"" suggested to Laurence A. Tisch, the CBS chief executive officer, that the moribund"" CBS Morning News"" was in the best shape it had ever been in and that he reconsider the decision to kill it."""	The Early Show	CBS Morning News	1
74	89	A minority is concerned with ecological issues, pushing for plans to have draft resisters allowed to clean up the environment.	Conscription	Draft dodger	1
221	228	Mr. McCarthy said he was heading for his Flushing home after visiting a Motor Vehicles Department office when he was attacked about 3:30 P.M. on Dec. 23 at Hillside Avenue and Merrick Boulevard in a heavily black area of Jamaica.	Jamaica, Queens	Jamaica	0
58	67	Before then, however, there is a playoff game Saturday in Cleveland between his team, the Browns, and the Jets.	Cleveland Browns	Cleveland	1
112	126	In order to accomplish the whitewash, Prime Minister Shimon Peres and Foreign Minister Yitzhak Shamir - who was Prime Minister at the time of the murders-muscled a tough attorney general out of office and replaced him with one who would support the Cabinet's request for the pardons.	Prime Minister of Israel	Prime Minister	0
70	86	In order to accomplish the whitewash, Prime Minister Shimon Peres and Foreign Minister Yitzhak Shamir - who was Prime Minister at the time of the murders-muscled a tough attorney general out of office and replaced him with one who would support the Cabinet's request for the pardons.	Foreign Affairs Minister of Israel	Foreign Minister	0
38	52	In order to accomplish the whitewash, Prime Minister Shimon Peres and Foreign Minister Yitzhak Shamir - who was Prime Minister at the time of the murders-muscled a tough attorney general out of office and replaced him with one who would support the Cabinet's request for the pardons.	Prime Minister of Israel	Prime Minister	0
19	29	The news surprised economists, even though it sounded familiar: The nation's trade deficit in November was $19.2 billion, a record for a single month.	Economics	Economist	1
69	79	Still, while saying the numbers were not as bad as they looked, many economists were taken aback.	Economics	Economist	1
32	40	If athletes don't play in their freshman year, they might as well remain in high school an additional year and enter college as sophomores.	Student	Freshman	1
99	113	The two countries' studies grew out of conversations in November 1983 between President Reagan and Prime Minister Yasuhiro Nakasone, who agreed that the two countries would benefit from the study of each other's school systems.	Prime Minister of Japan	Prime Minister	0
92	98	A Hasidic man who was beaten to unconciousness by a group of black teen-agers on a Brooklyn subway platform last summer died Saturday of his injuries, the police said yesterday.	New York City Subway	Rapid transit	0
170	180	It was the third consecutive defeat for Southern Cal (7-5) and for Coach Ted Tollner, who was dismissed at the end of the regular season following losses to U.C.L.A. and Notre Dame.	University of Notre Dame	Notre Dame Fighting Irish football	1
49	57	Brent Fullwood, the consensus all-America senior tailback, ran for 152 yards and a touchdown today to lead Auburn to a 16-7 victory over Southern Cal in the Florida Citrus Bowl.	Running back	Halfback (American football)	1
58	71	After his injury, the Giants' passing game suffered until Bobby Johnson, Stacy Robinson and the reacquired Phil McConkey started alternating heroics.	Bobby Johnson (American football)	Bobby Johnson	0
118	131	"Even after his intensive rehabilitation, the chief surgeon who cleared him to return to the team, Dr. Arthur White of San Francisco, nonetheless offered his personal opinion that anyone who had the operation Montana had would be"" crazy"" to play football again."	San Francisco 49ers	San Francisco	1
0	7	The Fed regulates the subsidiaries of bank holding companies; the State Banking Department claims authority over banks chartered in New York.	The Fed (Columbia newspaper)	Federal Reserve System	1
